Room,BSSID,SSID,RSSI(dBm),Time
S203B,ac:2a:a1:7e:df:67,UTTetudiants,-67,2026-02-10 15:39:12
S203B,ac:2a:a1:7e:df:67,UTTetudiants,-65,2026-02-10 15:39:12
S203B,ac:2a:a1:7e:df:67,UTTetudiants,-74,2026-02-10 15:39:16
S203B,ac:2a:a1:7e:df:67,UTTetudiants,-66,2026-02-10 15:39:16
S203B,ac:2a:a1:7e:df:67,UTTetudiants,-66,2026-02-10 15:39:19
S203B,ac:2a:a1:7e:df:65,Hidden,-57,2026-02-10 15:35:30
S203B,ac:2a:a1:7e:df:65,Hidden,-57,2026-02-10 15:35:36
S203B,ac:2a:a1:7e:df:65,Hidden,-57,2026-02-10 15:35:39
S203B,ac:2a:a1:7e:df:65,Hidden,-62,2026-02-10 15:35:43
S203B,ac:2a:a1:7e:df:65,Hidden,-55,2026-02-10 15:35:46
S203B,ac:2a:a1:7e:df:65,Hidden,-55,2026-02-10 15:35:49
S203B,ac:2a:a1:7e:df:65,Hidden,-55,2026-02-10 15:35:52
S203B,ac:2a:a1:7e:df:65,Hidden,-55,2026-02-10 15:35:55
S203B,ac:2a:a1:7e:df:65,Hidden,-55,2026-02-10 15:36:00
S203B,ac:2a:a1:7e:df:65,Hidden,-55,2026-02-10 15:36:04
S203B,ac:2a:a1:7e:df:65,Hidden,-55,2026-02-10 15:36:09
S203B,ac:2a:a1:7e:df:65,Hidden,-65,2026-02-10 15:36:15
S203B,ac:2a:a1:7e:df:65,Hidden,-65,2026-02-10 15:36:20
S203B,ac:2a:a1:7e:df:65,Hidden,-65,2026-02-10 15:36:23
S203B,ac:2a:a1:7e:df:65,Hidden,-65,2026-02-10 15:36:26
S203B,ac:2a:a1:7e:df:65,Hidden,-65,2026-02-10 15:36:29
S203B,ac:2a:a1:7e:df:65,Hidden,-65,2026-02-10 15:36:40
S203B,ac:2a:a1:7e:df:65,Hidden,-65,2026-02-10 15:36:43
S203B,ac:2a:a1:7e:df:65,Hidden,-55,2026-02-10 15:36:46
S203B,ac:2a:a1:7e:df:65,Hidden,-55,2026-02-10 15:36:50
S203B,ac:2a:a1:7e:df:65,Hidden,-55,2026-02-10 15:36:53
S203B,ac:2a:a1:7e:df:65,Hidden,-52,2026-02-10 15:36:58
S203B,ac:2a:a1:7e:df:65,Hidden,-52,2026-02-10 15:37:04
S203B,ac:2a:a1:7e:df:65,Hidden,-52,2026-02-10 15:37:07
S203B,ac:2a:a1:7e:df:65,Hidden,-52,2026-02-10 15:37:10
S203B,ac:2a:a1:7e:df:65,Hidden,-52,2026-02-10 15:37:13
S203B,ac:2a:a1:7e:df:65,Hidden,-52,2026-02-10 15:37:16
S203B,ac:2a:a1:7e:df:65,Hidden,-52,2026-02-10 15:37:19
S203B,ac:2a:a1:7e:df:65,Hidden,-52,2026-02-10 15:37:22
S203B,ac:2a:a1:7e:df:65,Hidden,-52,2026-02-10 15:37:26
S203B,ac:2a:a1:7e:df:65,Hidden,-52,2026-02-10 15:37:29
S203B,ac:2a:a1:7e:df:65,Hidden,-52,2026-02-10 15:37:31
S203B,ac:2a:a1:7e:df:65,Hidden,-52,2026-02-10 15:37:38
S203B,ac:2a:a1:7e:df:65,Hidden,-52,2026-02-10 15:37:41
S203B,ac:2a:a1:7e:df:65,Hidden,-52,2026-02-10 15:37:44
S203B,ac:2a:a1:7e:df:65,Hidden,-52,2026-02-10 15:37:54
S203B,ac:2a:a1:7e:df:65,Hidden,-52,2026-02-10 15:37:57
S203B,ac:2a:a1:7e:df:65,Hidden,-52,2026-02-10 15:38:00
S203B,ac:2a:a1:7e:df:65,Hidden,-52,2026-02-10 15:38:04
S203B,ac:2a:a1:7e:df:65,Hidden,-52,2026-02-10 15:38:10
S203B,ac:2a:a1:7e:df:65,Hidden,-52,2026-02-10 15:38:13
S203B,ac:2a:a1:7e:df:65,Hidden,-62,2026-02-10 15:38:16
S203B,ac:2a:a1:7e:df:65,Hidden,-62,2026-02-10 15:38:19
S203B,ac:2a:a1:7e:df:65,Hidden,-62,2026-02-10 15:38:22
S203B,ac:2a:a1:7e:df:65,Hidden,-62,2026-02-10 15:38:30
S203B,ac:2a:a1:7e:df:65,Hidden,-62,2026-02-10 15:38:33
S203B,ac:2a:a1:7e:df:65,Hidden,-62,2026-02-10 15:38:36
S203B,ac:2a:a1:7e:df:65,Hidden,-62,2026-02-10 15:38:44
S203B,ac:2a:a1:7e:df:65,Hidden,-62,2026-02-10 15:38:48
S203B,ac:2a:a1:7e:df:65,Hidden,-62,2026-02-10 15:38:53
S203B,ac:2a:a1:7e:df:65,Hidden,-62,2026-02-10 15:38:56
S203B,ac:2a:a1:7e:df:65,Hidden,-62,2026-02-10 15:39:00
S203B,ac:2a:a1:7e:df:65,Hidden,-62,2026-02-10 15:39:03
S203B,ac:2a:a1:7e:df:65,Hidden,-62,2026-02-10 15:39:05
S203B,ac:2a:a1:7e:df:65,Hidden,-62,2026-02-10 15:39:08
S203B,ac:2a:a1:7e:df:65,Hidden,-62,2026-02-10 15:39:12
S203B,ac:2a:a1:7e:df:65,Hidden,-62,2026-02-10 15:39:16
S203B,ac:2a:a1:7e:df:65,Hidden,-62,2026-02-10 15:39:19
S203B,ac:2a:a1:7e:df:62,eduroam,-67,2026-02-10 15:35:30
S203B,ac:2a:a1:7e:df:62,eduroam,-72,2026-02-10 15:35:36
S203B,ac:2a:a1:7e:df:62,eduroam,-65,2026-02-10 15:35:39
S203B,ac:2a:a1:7e:df:62,eduroam,-65,2026-02-10 15:35:43
S203B,ac:2a:a1:7e:df:62,eduroam,-74,2026-02-10 15:35:46
S203B,ac:2a:a1:7e:df:62,eduroam,-65,2026-02-10 15:35:49
S203B,ac:2a:a1:7e:df:62,eduroam,-65,2026-02-10 15:35:52
S203B,ac:2a:a1:7e:df:62,eduroam,-74,2026-02-10 15:35:55
S203B,ac:2a:a1:7e:df:62,eduroam,-74,2026-02-10 15:36:00
S203B,ac:2a:a1:7e:df:62,eduroam,-74,2026-02-10 15:36:04
S203B,ac:2a:a1:7e:df:62,eduroam,-74,2026-02-10 15:36:09
S203B,ac:2a:a1:7e:df:62,eduroam,-64,2026-02-10 15:36:15
S203B,ac:2a:a1:7e:df:62,eduroam,-69,2026-02-10 15:36:20
S203B,ac:2a:a1:7e:df:62,eduroam,-61,2026-02-10 15:36:23
S203B,ac:2a:a1:7e:df:62,eduroam,-61,2026-02-10 15:36:26
S203B,ac:2a:a1:7e:df:62,eduroam,-74,2026-02-10 15:36:29
S203B,ac:2a:a1:7e:df:62,eduroam,-60,2026-02-10 15:36:40
S203B,ac:2a:a1:7e:df:62,eduroam,-65,2026-02-10 15:36:43
S203B,ac:2a:a1:7e:df:62,eduroam,-65,2026-02-10 15:36:46
S203B,ac:2a:a1:7e:df:62,eduroam,-69,2026-02-10 15:36:50
S203B,ac:2a:a1:7e:df:62,eduroam,-66,2026-02-10 15:36:53
S203B,ac:2a:a1:7e:df:62,eduroam,-66,2026-02-10 15:36:58
S203B,ac:2a:a1:7e:df:62,eduroam,-71,2026-02-10 15:37:04
S203B,ac:2a:a1:7e:df:62,eduroam,-67,2026-02-10 15:37:07
S203B,ac:2a:a1:7e:df:62,eduroam,-67,2026-02-10 15:37:10
S203B,ac:2a:a1:7e:df:62,eduroam,-67,2026-02-10 15:37:13
S203B,ac:2a:a1:7e:df:62,eduroam,-67,2026-02-10 15:37:16
S203B,ac:2a:a1:7e:df:62,eduroam,-67,2026-02-10 15:37:19
S203B,ac:2a:a1:7e:df:62,eduroam,-72,2026-02-10 15:37:22
S203B,ac:2a:a1:7e:df:62,eduroam,-63,2026-02-10 15:37:26
S203B,ac:2a:a1:7e:df:62,eduroam,-63,2026-02-10 15:37:29
S203B,ac:2a:a1:7e:df:62,eduroam,-71,2026-02-10 15:37:31
S203B,ac:2a:a1:7e:df:62,eduroam,-65,2026-02-10 15:37:38
S203B,ac:2a:a1:7e:df:62,eduroam,-66,2026-02-10 15:37:41
S203B,ac:2a:a1:7e:df:62,eduroam,-66,2026-02-10 15:37:44
S203B,ac:2a:a1:7e:df:62,eduroam,-69,2026-02-10 15:37:54
S203B,ac:2a:a1:7e:df:62,eduroam,-75,2026-02-10 15:37:57
