BSSID,SSID,RSSI(dBm),Time
e4:aa:5d:bf:25:57:,UTTetudiants,-85,2026-04-30 11:11:29
e4:aa:5d:bf:25:57:,UTTetudiants,-85,2026-04-30 11:11:32
e4:aa:5d:bf:25:57:,UTTetudiants,-81,2026-04-30 11:11:32
e4:aa:5d:bf:25:57:,UTTetudiants,-85,2026-04-30 11:11:32
e4:aa:5d:bf:25:57:,UTTetudiants,-85,2026-04-30 11:11:35
e4:aa:5d:bf:25:57:,UTTetudiants,-81,2026-04-30 11:11:35
e4:aa:5d:bf:25:57:,UTTetudiants,-85,2026-04-30 11:11:35
e4:aa:5d:bf:25:57:,UTTetudiants,-85,2026-04-30 11:11:38
e4:aa:5d:bf:25:57:,UTTetudiants,-81,2026-04-30 11:11:38
e4:aa:5d:bf:25:57:,UTTetudiants,-85,2026-04-30 11:11:38
e4:aa:5d:bf:25:57:,UTTetudiants,-85,2026-04-30 11:11:40
e4:aa:5d:bf:25:57:,UTTetudiants,-81,2026-04-30 11:11:40
e4:aa:5d:bf:25:57:,UTTetudiants,-85,2026-04-30 11:11:40
e4:aa:5d:bf:25:57:,UTTetudiants,-81,2026-04-30 11:11:44
e4:aa:5d:bf:25:57:,UTTetudiants,-81,2026-04-30 11:11:44
e4:aa:5d:bf:25:57:,UTTetudiants,-81,2026-04-30 11:11:44
e4:aa:5d:bf:25:57:,UTTetudiants,-81,2026-04-30 11:11:47
e4:aa:5d:bf:25:57:,UTTetudiants,-81,2026-04-30 11:11:47
e4:aa:5d:bf:25:57:,UTTetudiants,-81,2026-04-30 11:11:47
e4:aa:5d:bf:25:57:,UTTetudiants,-81,2026-04-30 11:11:50
e4:aa:5d:bf:25:57:,UTTetudiants,-81,2026-04-30 11:11:50
e4:aa:5d:bf:25:57:,UTTetudiants,-81,2026-04-30 11:11:50
e4:aa:5d:bf:25:57:,UTTetudiants,-73,2026-04-30 11:11:54
e4:aa:5d:bf:25:57:,UTTetudiants,-81,2026-04-30 11:11:54
e4:aa:5d:bf:25:57:,UTTetudiants,-73,2026-04-30 11:11:54
e4:aa:5d:bf:25:57:,UTTetudiants,-80,2026-04-30 11:11:57
e4:aa:5d:bf:25:57:,UTTetudiants,-81,2026-04-30 11:11:57
e4:aa:5d:bf:25:57:,UTTetudiants,-80,2026-04-30 11:11:57
e4:aa:5d:fd:3e:e7:,UTTetudiants,-73,2026-04-30 11:09:02
e4:aa:5d:fd:3e:e7:,UTTetudiants,-73,2026-04-30 11:09:02
e4:aa:5d:fd:3e:e7:,UTTetudiants,-83,2026-04-30 11:09:05
e4:aa:5d:fd:3e:e7:,UTTetudiants,-83,2026-04-30 11:09:05
e4:aa:5d:fd:3e:e7:,UTTetudiants,-83,2026-04-30 11:09:08
e4:aa:5d:fd:3e:e7:,UTTetudiants,-83,2026-04-30 11:09:08
e4:aa:5d:fd:3e:e7:,UTTetudiants,-83,2026-04-30 11:09:13
e4:aa:5d:fd:3e:e7:,UTTetudiants,-83,2026-04-30 11:09:13
e4:aa:5d:fd:3e:e7:,UTTetudiants,-83,2026-04-30 11:09:16
e4:aa:5d:fd:3e:e7:,UTTetudiants,-83,2026-04-30 11:09:16
e4:aa:5d:fd:3e:e7:,UTTetudiants,-83,2026-04-30 11:09:19
e4:aa:5d:fd:3e:e7:,UTTetudiants,-83,2026-04-30 11:09:19
e4:aa:5d:fd:3e:e7:,UTTetudiants,-83,2026-04-30 11:09:28
e4:aa:5d:fd:3e:e7:,UTTetudiants,-83,2026-04-30 11:09:28
e4:aa:5d:fd:3e:e7:,UTTetudiants,-83,2026-04-30 11:09:37
e4:aa:5d:fd:3e:e7:,UTTetudiants,-83,2026-04-30 11:09:37
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:09:42
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:09:42
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:09:45
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:09:45
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:09:49
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:09:49
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:09:52
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:09:52
e4:aa:5d:fd:3e:e7:,UTTetudiants,-87,2026-04-30 11:09:56
e4:aa:5d:fd:3e:e7:,UTTetudiants,-87,2026-04-30 11:09:56
e4:aa:5d:fd:3e:e7:,UTTetudiants,-87,2026-04-30 11:10:00
e4:aa:5d:fd:3e:e7:,UTTetudiants,-87,2026-04-30 11:10:00
e4:aa:5d:fd:3e:e7:,UTTetudiants,-83,2026-04-30 11:10:04
e4:aa:5d:fd:3e:e7:,UTTetudiants,-83,2026-04-30 11:10:04
e4:aa:5d:fd:3e:e7:,UTTetudiants,-87,2026-04-30 11:10:24
e4:aa:5d:fd:3e:e7:,UTTetudiants,-87,2026-04-30 11:10:24
e4:aa:5d:fd:3e:e7:,UTTetudiants,-85,2026-04-30 11:10:27
e4:aa:5d:fd:3e:e7:,UTTetudiants,-85,2026-04-30 11:10:27
e4:aa:5d:fd:3e:e7:,UTTetudiants,-85,2026-04-30 11:10:32
e4:aa:5d:fd:3e:e7:,UTTetudiants,-85,2026-04-30 11:10:32
e4:aa:5d:fd:3e:e7:,UTTetudiants,-84,2026-04-30 11:10:35
e4:aa:5d:fd:3e:e7:,UTTetudiants,-84,2026-04-30 11:10:35
e4:aa:5d:fd:3e:e7:,UTTetudiants,-84,2026-04-30 11:10:38
e4:aa:5d:fd:3e:e7:,UTTetudiants,-84,2026-04-30 11:10:38
e4:aa:5d:fd:3e:e7:,UTTetudiants,-84,2026-04-30 11:10:44
e4:aa:5d:fd:3e:e7:,UTTetudiants,-84,2026-04-30 11:10:44
e4:aa:5d:fd:3e:e7:,UTTetudiants,-81,2026-04-30 11:10:47
e4:aa:5d:fd:3e:e7:,UTTetudiants,-81,2026-04-30 11:10:47
e4:aa:5d:fd:3e:e7:,UTTetudiants,-81,2026-04-30 11:10:50
e4:aa:5d:fd:3e:e7:,UTTetudiants,-81,2026-04-30 11:10:50
e4:aa:5d:fd:3e:e7:,UTTetudiants,-81,2026-04-30 11:10:53
e4:aa:5d:fd:3e:e7:,UTTetudiants,-81,2026-04-30 11:10:53
e4:aa:5d:fd:3e:e7:,UTTetudiants,-80,2026-04-30 11:10:56
e4:aa:5d:fd:3e:e7:,UTTetudiants,-80,2026-04-30 11:10:56
e4:aa:5d:fd:3e:e7:,UTTetudiants,-80,2026-04-30 11:11:08
e4:aa:5d:fd:3e:e7:,UTTetudiants,-80,2026-04-30 11:11:08
e4:aa:5d:fd:3e:e7:,UTTetudiants,-80,2026-04-30 11:11:12
e4:aa:5d:fd:3e:e7:,UTTetudiants,-80,2026-04-30 11:11:12
e4:aa:5d:fd:3e:e7:,UTTetudiants,-85,2026-04-30 11:11:16
e4:aa:5d:fd:3e:e7:,UTTetudiants,-85,2026-04-30 11:11:16
e4:aa:5d:fd:3e:e7:,UTTetudiants,-85,2026-04-30 11:11:19
e4:aa:5d:fd:3e:e7:,UTTetudiants,-85,2026-04-30 11:11:19
e4:aa:5d:fd:3e:e7:,UTTetudiants,-85,2026-04-30 11:11:24
e4:aa:5d:fd:3e:e7:,UTTetudiants,-85,2026-04-30 11:11:24
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:11:29
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:11:29
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:11:32
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:11:32
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:11:35
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:11:35
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:11:38
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:11:38
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:11:40
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:11:40
e4:aa:5d:fd:3e:e7:,UTTetudiants,-82,2026-04-30 11:11:44
e4:aa:5d:fd:3e:e7:,UTTetudiants,-82,2026-04-30 11:11:44
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:11:47
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:11:47
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:11:50
e4:aa:5d:fd:3e:e7:,UTTetudiants,-86,2026-04-30 11:11:50
e4:aa:5d:fd:3e:e7:,UTTetudiants,-85,2026-04-30 11:11:54
e4:aa:5d:fd:3e:e7:,UTTetudiants,-85,2026-04-30 11:11:54
e4:aa:5d:fd:3e:e7:,UTTetudiants,-84,2026-04-30 11:11:57
e4:aa:5d:fd:3e:e7:,UTTetudiants,-84,2026-04-30 11:11:57
f8:6b:d9:01:93:68:,UTTetudiants,-84,2026-04-30 11:09:02
f8:6b:d9:01:93:68:,UTTetudiants,-84,2026-04-30 11:09:02
f8:6b:d9:01:93:68:,UTTetudiants,-84,2026-04-30 11:09:05
f8:6b:d9:01:93:68:,UTTetudiants,-72,2026-04-30 11:09:05
f8:6b:d9:01:93:68:,UTTetudiants,-84,2026-04-30 11:09:05
f8:6b:d9:01:93:68:,UTTetudiants,-77,2026-04-30 11:09:08
f8:6b:d9:01:93:68:,UTTetudiants,-72,2026-04-30 11:09:08
f8:6b:d9:01:93:68:,UTTetudiants,-77,2026-04-30 11:09:08
f8:6b:d9:01:93:68:,UTTetudiants,-83,2026-04-30 11:09:13
f8:6b:d9:01:93:68:,UTTetudiants,-72,2026-04-30 11:09:13
f8:6b:d9:01:93:68:,UTTetudiants,-83,2026-04-30 11:09:13
f8:6b:d9:01:93:68:,UTTetudiants,-83,2026-04-30 11:09:16
f8:6b:d9:01:93:68:,UTTetudiants,-78,2026-04-30 11:09:16
f8:6b:d9:01:93:68:,UTTetudiants,-83,2026-04-30 11:09:16
f8:6b:d9:01:93:68:,UTTetudiants,-74,2026-04-30 11:09:19
f8:6b:d9:01:93:68:,UTTetudiants,-78,2026-04-30 11:09:19
f8:6b:d9:01:93:68:,UTTetudiants,-74,2026-04-30 11:09:19
f8:6b:d9:01:93:68:,UTTetudiants,-85,2026-04-30 11:09:28
f8:6b:d9:01:93:68:,UTTetudiants,-75,2026-04-30 11:09:28
f8:6b:d9:01:93:68:,UTTetudiants,-85,2026-04-30 11:09:28
f8:6b:d9:01:93:68:,UTTetudiants,-80,2026-04-30 11:09:37
f8:6b:d9:01:93:68:,UTTetudiants,-81,2026-04-30 11:09:37
f8:6b:d9:01:93:68:,UTTetudiants,-80,2026-04-30 11:09:37
f8:6b:d9:01:93:68:,UTTetudiants,-80,2026-04-30 11:09:42
f8:6b:d9:01:93:68:,UTTetudiants,-65,2026-04-30 11:09:42
f8:6b:d9:01:93:68:,UTTetudiants,-80,2026-04-30 11:09:42
f8:6b:d9:01:93:68:,UTTetudiants,-80,2026-04-30 11:09:45
f8:6b:d9:01:93:68:,UTTetudiants,-65,2026-04-30 11:09:45
f8:6b:d9:01:93:68:,UTTetudiants,-80,2026-04-30 11:09:45
f8:6b:d9:01:93:68:,UTTetudiants,-80,2026-04-30 11:09:49
f8:6b:d9:01:93:68:,UTTetudiants,-71,2026-04-30 11:09:49
f8:6b:d9:01:93:68:,UTTetudiants,-80,2026-04-30 11:09:49
f8:6b:d9:01:93:68:,UTTetudiants,-80,2026-04-30 11:09:52
